Epoch	Sims	CorrectCommits	HonestWins	WinPercentage	AverageRounds	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
48	148	199	51	0.34459459459459457	25.58783783783784	121.163506	95.886246	287.6	-766.8	24.587837	-6.9253583	14.626812	76.35218	-58.413036	294000.0	2.2646072e-09	29400.234	-0.007543737	-276.64844	0.27455905	0.007317618	0.048084896	79.0	221.15421795845032
49	152	207	56	0.3684210526315789	25.151315789473685	106.86316	167.46646	339.7	-1030.1	24.151316	0.6297075	15.249352	72.6089	-33.117973	300000.0	7.1021016e-09	117245.734	-0.0026057023	-3383.9375	0.28462347	0.0059387963	0.04825428	79.0	229.24163484573364
50	198	263	64	0.32323232323232326	19.292929292929294	105.67929	101.21048	300.5	-1083.9	18.292929	-21.648937	19.62559	9.448416	-71.027534	306000.0	6.3062306e-09	29136.174	-0.0019326865	-81.9707	0.35175127	0.0028846825	0.031213872	79.0	237.0759298801422
51	206	311	90	0.4368932038834951	18.699029126213592	102.30729	98.397736	287.6	-1083.9	17.69903	-16.739502	23.67715	44.056946	-68.52201	312000.0	7.580425e-09	29197.61	-0.0027619896	-101.97656	0.34990895	0.0036195598	0.045311205	79.0	243.437805891037
52	203	289	84	0.41379310344827586	18.699507389162562	106.956154	56.959854	327.1	8.0	17.699507	-13.430971	22.130234	38.8435	-67.742836	318000.0	-1.8388352e-08	655.19214	-0.011564077	-200.07886	0.34076482	0.016384354	0.10057803	13.0	250.2342119216919
53	112	155	43	0.38392857142857145	32.69642857142857	117.675	179.59056	281.3	-975.9	31.696428	-6.7416472	17.175856	41.363167	-40.49903	324000.0	8.5732035e-09	89404.61	-0.007438775	-3607.0469	0.22608933	0.013992829	0.05275305	79.0	257.7806270122528
54	182	298	85	0.46703296703296704	20.774725274725274	118.615944	59.01951	298.3	2.6	19.774725	-13.200463	12.845243	7.625561	-55.809486	330000.0	6.846586e-08	588.94464	-0.009548832	-78.84479	0.33241668	0.0048555504	0.082318075	79.0	264.9396188259125
55	131	177	47	0.35877862595419846	28.290076335877863	89.98931	189.9426	331.4	-876.3	27.290077	-11.738658	12.57452	12.515589	-50.8099	336000.0	1.515041e-10	171607.92	-0.0054859715	-4139.2344	0.25382465	0.012806074	0.06001968	79.0	272.3153729438782
56	204	293	82	0.4019607843137255	18.235294117647058	106.83334	51.22126	259.1	2.1	17.235294	-19.68823	31.836847	33.720947	-109.26128	342000.0	9.208026e-09	1088.2273	-0.006955412	-191.71619	0.3509919	0.0013640863	0.029568106	79.0	280.77086186408997
57	170	233	67	0.3941176470588235	22.33529411764706	127.48176	54.946346	283.8	29.0	21.335295	-13.995838	31.497604	34.551163	-103.29411	348000.0	-4.1922362e-08	940.66766	-0.0044734487	-211.6206	0.3063478	0.0008969447	0.01612099	79.0	287.96764612197876
58	153	245	71	0.46405228758169936	25.88235294117647	127.02418	118.80108	359.8	-788.3	24.882353	-11.429769	25.19308	30.991364	-90.91153	354000.0	4.4881183e-09	59598.195	-0.0026582205	-1758.4609	0.2836565	0.006715592	0.054704234	79.0	296.3544170856476
59	217	289	86	0.39631336405529954	17.211981566820278	102.92904	50.693333	254.3	8.2	16.21198	-18.14885	16.756582	38.086174	-77.06535	360000.0	-1.1675521e-07	695.0374	-0.012802044	-129.86255	0.3528606	0.0036489666	0.101284586	79.0	307.0841407775879
60	159	233	63	0.39622641509433965	23.78616352201258	125.6478	89.950294	308.0	-743.6	22.786163	-14.301205	14.558088	33.267353	-67.210106	366000.0	1.1867746e-09	28905.303	-0.0037321448	-242.90234	0.2994946	0.0022056296	0.022141442	79.0	312.68249893188477
61	166	251	77	0.463855421686747	22.96385542168675	117.26627	94.68717	294.0	-859.8	21.963856	-7.273229	14.07355	31.520727	-85.683914	372000.0	-9.929986e-09	29698.1	-0.00053551904	-186.16406	0.2893717	0.0015134846	0.013278008	79.0	320.5769259929657
62	139	209	67	0.48201438848920863	26.568345323741006	95.943886	192.39905	319.6	-972.3	25.568346	-5.490306	15.173113	30.85117	-73.77875	378000.0	4.7976756e-09	146003.55	-0.0036668244	-3351.375	0.2667858	0.015140145	0.05777189	56.0	326.9539349079132
63	227	373	118	0.5198237885462555	16.916299559471366	100.7044	51.438942	297.0	11.8	15.9163	-26.950363	20.29457	-4.0748935	-110.69937	384000.0	-9.890919e-08	971.6712	-0.00778858	-527.5225	0.3667531	0.0037256712	0.085299455	79.0	333.57958483695984
64	178	221	67	0.37640449438202245	21.235955056179776	121.11743	57.48927	307.3	16.7	20.235954	-9.590688	16.383442	47.30925	-39.38902	390000.0	-3.6416022e-08	502.65277	-0.010393865	-222.45639	0.3071795	0.0152157815	0.088337466	14.0	342.1039090156555
65	111	148	46	0.4144144144144144	33.927927927927925	138.11891	142.27167	331.4	-841.7	32.92793	1.4689448	9.291952	46.062454	-10.7566185	396000.0	4.937279e-09	58285.234	-0.002800269	-982.9375	0.20239608	0.003828229	0.054360323	79.0	349.51984691619873
66	147	228	72	0.4897959183673469	26.156462585034014	107.72858	156.28287	323.2	-893.0	25.156462	-6.2494063	12.905106	26.061066	-70.28867	402000.0	-1.0455417e-08	115270.26	-0.0034778703	-3327.9297	0.2631185	0.01269999	0.07127677	79.0	357.19302892684937
67	229	312	101	0.4410480349344978	16.336244541484717	97.78516	47.27842	278.9	9.1	15.336245	-35.63578	26.317593	-0.63248074	-124.90455	408000.0	2.4656626e-07	1299.4738	-0.006050691	-743.6318	0.36066732	0.00341756	0.06237558	79.0	364.9562258720398
68	185	226	68	0.3675675675675676	20.556756756756755	117.16109	52.884712	273.4	18.2	19.556757	-13.104091	16.139008	21.064022	-58.23227	414000.0	-7.057674e-09	585.22797	-0.008815434	-271.6475	0.31562698	0.0021846332	0.03668523	79.0	374.3929760456085
69	140	200	61	0.4357142857142857	27.12857142857143	125.75785	133.10957	341.5	-1008.8	26.12857	-0.3623319	13.542284	40.958923	-56.79866	420000.0	7.468965e-09	58053.28	-0.001905826	-961.46094	0.27074108	0.008724837	0.061358776	79.0	382.98249793052673
70	209	313	97	0.46411483253588515	17.91866028708134	103.517235	51.396236	299.6	13.4	16.918661	-8.465472	18.450874	40.060482	-65.961655	426000.0	4.7396465e-08	490.61356	-0.010676243	-206.51627	0.3441926	0.0152448565	0.103482425	14.0	390.3427460193634
71	115	181	58	0.5043478260869565	32.54782608695652	108.01304	193.96779	278.8	-907.4	31.547827	1.7868141	13.14163	40.280533	-29.006317	432000.0	1.1526901e-08	143325.34	-0.0033354287	-4859.1094	0.23393904	0.015318575	0.049070753	76.0	400.71947598457336
72	206	314	98	0.47572815533980584	18.75242718446602	112.47621	57.187706	328.0	11.8	17.752428	-17.616	29.592712	28.8694	-105.824875	438000.0	-5.4275752e-08	959.68726	-0.0059633194	-316.62213	0.33641538	0.0041064797	0.057119206	79.0	408.08447194099426
73	170	244	78	0.4588235294117647	22.33529411764706	115.04765	81.24081	311.8	-643.5	21.335295	-14.310935	26.316616	34.07509	-90.30275	444000.0	-4.498254e-09	29338.018	-0.0014052863	-429.98438	0.28085476	0.0006703592	0.031322505	79.0	418.2444508075714
74	180	250	80	0.4444444444444444	20.633333333333333	119.60221	56.127903	284.3	14.4	19.633333	-16.763893	28.337473	26.772583	-98.02049	450000.0	-4.720222e-08	878.7436	-0.0069475705	-335.84357	0.2982669	0.0017382094	0.0054626716	79.0	424.30329990386963
